*,Product,Code,Size,Retail price,Available Stock,Hold Stock,Total price
944,Amano Nails (Steel) 2 1/2 Inch,3G49-04,2 1/2,Rs.14.00,200,0,Rs.0.00
945,Amano Nails (Steel) 3 Inch,3G49-05,3,Rs.16.00,0,0,Rs.960.00
946,Amano Nails (Wood) 1 Inch,3G49-06,1,Rs.6.50,0,0,Rs.0.00
947,Amano Nails (Wood) 1 1/2 Inch,3G49-07,1 1/2,Rs.14.00,0,0,Rs.0.00
948,Amano Nails (Wood) 2 Inch,3G49-08,2,Rs.17.50,0,0,Rs.0.00
949,Amano Nails (Wood) 2 1/2 Inch,3G49-09,2 1/2,Rs.18.00,0,0,Rs.0.00
950,Amano Nails (Wood) 3 Inch,3G49-10,3,Rs.21.00,0,0,Rs.0.00
951,SRC Pop Riverts 1/8 X 1/4 (1000 Pcs),3G50-01,08-Jan,"Rs.2,187.40",2,0,Rs.0.00
952,SRC Pop Riverts 1/8 X 1/2 (1000 Pcs),3G50-02,08-Jan,"Rs.2,880.00",7,1,"Rs.2,880.00"
953,SRC Pop Riverts 1/8 X 3/8 (1000 Pcs),3G50-03,08-Jan,"Rs.2,500.00",406,0,"Rs.1,022,500.00"
954,SRC Pop Riverts 1/8 X 5/8 (500 Pcs),3G50-04,08-Jan,"Rs.1,159.40",0,0,Rs.0.00
955,SRC Pop Riverts 1/8 X 3/4 (1000 Pcs),3G50-05,08-Jan,"Rs.3,300.00",402,0,"Rs.1,353,000.00"
956,SRC Pop Riverts 1/8 X 1(500 Pcs),3G50-06,08-Jan,"Rs.2,854.00",0,0,Rs.0.00
957,SRC Pop Riverts 5/32 X 1/4 (1000 Pcs),3G50-07,May-32,"Rs.3,222.00",0,0,Rs.0.00
958,SRC Pop Riverts 5/32 X 1/2 (1000 Pcs),3G50-08,May-32,"Rs.3,450.00",0,0,"Rs.3,450.00"
959,SRC Pop Riverts 5/32 X 3/8 (1000 Pcs),3G50-09,May-32,"Rs.3,425.50",3,0,Rs.0.00
960,SRC Pop Riverts 5/32 X 5/8 (500 Pcs),3G50-10,May-32,"Rs.2,234.50",0,0,"Rs.15,641.50"
961,SRC Pop Riverts 5/32 X 3/4 (500 Pcs),3G50-11,May-32,"Rs.2,940.00",240,0,"Rs.652,680.00"
962,SRC Pop Riverts 5/32 X 1 (250 Pcs),3G50-12,May-32,"Rs.1,429.80",0,0,"Rs.14,298.00"
963,SRC Pop Riverts 3/16 X 1/4 (500 Pcs),3G50-13,16-Mar,"Rs.1,854.50",46,0,"Rs.89,016.00"
964,SRC Pop Riverts 3/16 X 1/2 (500 Pcs),3G50-14,16-Mar,"Rs.2,595.70",0,0,Rs.0.00
965,SRC Pop Riverts 3/16 X 3/8 (500 Pcs),3G50-15,16-Mar,"Rs.1,645.50",134,0,"Rs.223,788.00"
966,SRC Pop Riverts 3/16 X 5/8 (250 Pcs),3G50-16,16-Mar,"Rs.1,518.50",175,0,"Rs.271,811.50"
