#,Product,Code,Category,Retail Price,Whole Sale Price,Actions,Qty
973,Cup Hooks 3/4 Inch,3G52-01,General Hardware,515,465,,131
974,Cup Hooks 1 Inch,3G52-02,General Hardware,650,585,,0
975,Cup Hooks 1 1/4 Inch,3G52-03,General Hardware,392,377,,0
976,Cup Hooks 1 1/2 Inch,3G52-04,General Hardware,1300,1170,,161
977,Cup Hooks 2 Inch,3G52-05,General Hardware,1890,1700,,168
978,Hose Clip 1/2 Inch,3G53-01,General Hardware,14,12,,0
979,Hose Clip 5/8 Inch,3G53-02,General Hardware,13.6,12.35,,239
980,Hose Clip 3/4 Inch,3G53-03,General Hardware,14,13,,0
981,Hose Clip 1 Inch,3G53-04,General Hardware,15,14,,17
982,Hose Clip 1 1/4 Inch,3G53-05,General Hardware,19,18,,4220
983,Hose Clip 1 1/2 Inch,3G53-06,General Hardware,23,20.8,,2202
984,Hose Clip 2 Inch,3G53-07,General Hardware,38,34.5,,0
985,Hose Clip 3 Inch,3G53-08,General Hardware,45,40.7,,0
986,Hose Clip 4 Inch,3G53-09,General Hardware,49,44,,0
987,Hose Clip With Handel 5/8 Inch,3G53-10,General Hardware,23,21,,0
988,Hose Clip With Handel 3/4 Inch,3G53-11,General Hardware,23,21,,0
989,Pipe Clip (Gi) 1/2 Inch,3G54-01,General Hardware,8.75,7.8,,0
990,Pipe Clip (Gi) 3/4 Inch,3G54-02,General Hardware,12,10,,0
991,Pipe Clip (Gi) 1 Inch,3G54-03,General Hardware,15,14,,75
992,Pipe Clip (Gi) 1 1/2 Inch,3G54-04,General Hardware,26,24,,0
993,Pantry Magnet (White) Large,3G55-01,General Hardware,40,36,,0
994,Pantry Magnet (Brown) Large,3G55-02,General Hardware,20,18,,0
995,Pantry Magnet Small,3G55-03,General Hardware,25,23,,500
996,Mouse Box (Courted),3G56-01,General Hardware,271,247,,0
997,Mouse Box (Normal),3G56-02,General Hardware,404,363,,0
998,Mouse Box Made In China (Small),3G56-03,General Hardware,457,412,,0
999,Mouse Box Made In China (Large),3G56-04,General Hardware,525,475,,3703
1000,Curtain Runners (1000 Pcs),3G57-01,General Hardware,2850,2565,,137
1001,Tap Connecter (Imported) 1/2 Inch,3G58-01,General Hardware,50,45,,0
1002,Tap Connecter (Made In Sri Lanka) 1/2 Inch,3G58-02,General Hardware,28,25,,1279
1003,Key Cylinder 3 Key (Small),3G59-01,General Hardware,895,806,,143
1004,Key Cylinder 5 Key (Computer Key),3G59-02,General Hardware,995,895,,249
1005,Portable Scale 50 Kg (Grade A),3G60-01,General Hardware,765,690,,0
1006,Portable Scale 50 Kg,3G60-02,General Hardware,914,824,,0
1007,Family Scale 5 Kg,3G60-03,General Hardware,934,840,,0
1008,Electric Scale 10 Kg,3G60-04,General Hardware,810,730,,0
1009,Well Pully 160 mm,3G61-01,General Hardware,1400,1260,,0
1010,Well Pully 120 mm,3G61-02,General Hardware,740,666,,0
1011,Well Pully 140 mm,3G61-03,General Hardware,885,796,,0
1012,Dog Chain (Lead) 5 mm,3G62-01,General Hardware,325,292,,206
1013,Dog Chain (Lead) 4 mm,3G62-02,General Hardware,260,235,,168
1014,Dog Chain (Lead) 6 mm,3G62-03,General Hardware,425,385,,0
1015,Dog Chain 20 mm,3G62-04,General Hardware,190,170,,218
1016,Dog Chain 25 mm,3G62-05,General Hardware,225,205,,590
1017,Dog Chain 30 mm,3G62-06,General Hardware,270,245,,38
1018,Dog Chain 35 mm,3G62-07,General Hardware,315,285,,24
